cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
r0106_c0088,40.692051,-73.8051747,Residential,53,44.44,0.0,2.4,1939.0,107629.0,68,0.5847,0.0,0.0,0.0
r0106_c0089,40.692051,-73.8033918,Residential,57,88.89,0.0,2.3,1926.0,100999.0,78,0.8025,0.0,0.0,0.0
r0106_c0090,40.692051,-73.8016089,Residential,57,44.44,0.0,2.4,1935.0,100614.0,75,0.9589,0.0,0.0,0.0
r0106_c0091,40.692051,-73.799826,Residential,56,222.22,0.0,2.3,1935.0,124924.0,80,1.6128,0.0,44.44,0.0
r0106_c0092,40.692051,-73.7980431,Residential,45,400.0,0.1111,1.9,1940.0,91920.0,47,2.0386,44.44,88.89,0.0
r0106_c0093,40.692051,-73.7962602,Residential,55,44.44,0.0,2.0,1998.0,102289.0,61,0.2503,0.0,0.0,0.0
r0106_c0094,40.692051,-73.7944773,Residential,64,88.89,0.0,2.0,1962.0,104264.0,73,0.4859,0.0,0.0,0.0
r0106_c0095,40.692051,-73.7926944,Residential,27,44.44,0.0,2.0,1940.0,42643.0,24,1.9185,0.0,0.0,0.0
r0106_c0096,40.692051,-73.7909114,Residential,54,44.44,0.0,2.2,1935.0,66757.0,59,1.0845,0.0,0.0,0.0
r0106_c0097,40.692051,-73.7891285,Residential,55,0.0,0.0,2.2,1945.0,71437.0,55,1.1088,0.0,0.0,0.0
r0106_c0098,40.692051,-73.7873456,Mixed-Use,49,133.33,0.0,2.1,1947.0,70940.0,44,1.8578,0.0,0.0,0.0
r0106_c0099,40.692051,-73.7855627,Residential,46,133.33,0.0,1.8,1952.0,64047.0,53,0.3911,0.0,0.0,0.0
r0106_c0100,40.692051,-73.7837798,Residential,55,44.44,0.0,1.8,1940.0,62348.0,84,-0.0,0.0,0.0,0.0
r0106_c0101,40.692051,-73.7819969,Residential,53,0.0,0.0,1.7,1946.0,61963.0,66,-0.0,0.0,0.0,0.0
