cell_id,cell_lat,cell_lon,zone_type,cell_building_count,amenity_density,amenity_ratio_food_drink,avg_height,avg_floors,avg_construction_year,building_count,residential_ratio,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
r0017_c0663,48.1428752,2.8106668,residential,6,0.0,0.0,3.9,1.1,1914.0,8,0.375,1.9056,0.0,0.0,0.0
r0017_c0664,48.1428752,2.8127187,residential,3,0.0,0.0,4.4,1.2,1972.0,8,0.25,1.2988,0.0,0.0,0.0
r0017_c0665,48.1428752,2.8147707,residential,4,0.0,0.0,5.2,1.4,1871.0,10,0.4,1.361,0.0,0.0,0.0
r0017_c0667,48.1428752,2.8188745,residential,4,222.22,0.0,5.9,1.6,1972.0,4,0.75,0.8113,133.33,0.0,0.0
r0018_c0496,48.1442265,2.467993,industrial,5,0.0,0.0,12.8,1.4,,5,0.0,-0.0,0.0,0.0,0.0
r0018_c0506,48.1442265,2.4885124,industrial,7,44.44,0.0,3.3,1.1,1843.0,24,0.125,1.6344,0.0,0.0,0.0
r0018_c0508,48.1442265,2.4926162,residential,4,0.0,0.0,4.4,1.2,1844.0,13,0.308,1.4196,0.0,0.0,0.0
r0018_c0509,48.1442265,2.4946682,residential,7,0.0,0.0,3.8,1.1,1884.0,20,0.25,1.861,0.0,0.0,0.0
r0018_c0565,48.1442265,2.6095768,commercial,26,44.44,0.0,3.5,1.1,1911.0,43,0.256,1.9919,0.0,0.0,0.0
r0018_c0566,48.1442265,2.6116287,residential,4,0.0,0.0,3.4,1.2,1942.0,5,0.6,1.371,0.0,0.0,0.0
r0018_c0606,48.1442265,2.6937063,residential,22,0.0,0.0,3.6,1.4,1990.0,24,0.917,0.4138,0.0,0.0,0.0
r0018_c0607,48.1442265,2.6957582,residential,35,0.0,0.0,3.7,1.2,1983.0,45,0.644,1.4177,0.0,0.0,0.0
r0018_c0608,48.1442265,2.6978101,residential,33,0.0,0.0,3.9,1.4,1977.0,43,0.767,0.9328,0.0,0.0,0.0
r0018_c0609,48.1442265,2.6998621,commercial,22,177.78,0.0,5.2,1.2,1942.0,31,0.323,1.8412,0.0,0.0,0.0
r0018_c0610,48.1442265,2.701914,industrial,5,44.44,0.0,3.9,1.2,1850.0,5,0.4,1.5219,0.0,0.0,0.0
r0018_c0662,48.1442265,2.8086148,residential,4,0.0,0.0,4.2,1.1,1982.0,10,0.4,1.5219,0.0,0.0,0.0
r0018_c0678,48.1442265,2.8414459,residential,3,0.0,0.0,3.2,1.2,1910.0,8,0.375,1.4056,0.0,0.0,0.0
r0019_c0565,48.1455779,2.6095768,residential,27,0.0,0.0,2.8,1.1,1840.0,50,0.4,1.9528,0.0,0.0,0.0
r0019_c0606,48.1455779,2.6937063,commercial,3,177.78,0.0,4.9,1.0,2005.0,3,0.0,0.9183,0.0,0.0,0.0
r0019_c0607,48.1455779,2.6957582,residential,20,133.33,0.0,3.4,1.2,1987.0,26,0.5,1.4979,0.0,88.89,1.0
r0019_c0608,48.1455779,2.6978101,residential,29,133.33,0.0,4.2,1.2,1952.0,45,0.511,1.5448,0.0,0.0,0.0
r0019_c0609,48.1455779,2.6998621,residential,36,133.33,0.0,4.4,1.4,1900.0,51,0.49,1.8455,0.0,0.0,0.0
r0019_c0611,48.1455779,2.703966,industrial,3,44.44,0.0,3.4,1.0,,4,0.0,0.8113,0.0,0.0,0.0
r0019_c0614,48.1455779,2.7101218,residential,18,177.78,0.0,4.6,1.4,1913.0,32,0.562,1.2476,0.0,0.0,0.0
r0019_c0620,48.1455779,2.7224334,residential,4,44.44,0.0,3.4,1.2,1863.0,9,0.444,1.5305,0.0,0.0,0.0
r0019_c0634,48.1455779,2.7511606,residential,22,0.0,0.0,4.2,1.2,1890.0,35,0.629,0.9518,0.0,0.0,0.0
r0019_c0635,48.1455779,2.7532125,residential,12,311.11,0.0,4.5,1.6,1855.0,17,0.706,0.874,44.44,0.0,0.0
r0019_c0662,48.1455779,2.8086148,residential,12,0.0,0.0,3.7,1.2,1988.0,22,0.545,1.3946,0.0,0.0,0.0
r0019_c0663,48.1455779,2.8106668,residential,9,0.0,0.0,3.5,1.2,1983.0,17,0.529,1.2533,0.0,0.0,0.0
r0019_c0678,48.1455779,2.8414459,residential,3,0.0,0.0,3.4,1.0,1940.0,7,0.429,1.4488,0.0,0.0,0.0
r0020_c0565,48.1469292,2.6095768,residential,12,88.89,0.0,3.2,1.1,1859.0,39,0.308,1.4621,0.0,0.0,0.0
r0020_c0606,48.1469292,2.6937063,commercial,4,133.33,0.0,3.7,1.3,2002.0,5,0.2,1.9219,0.0,0.0,0.0
r0020_c0607,48.1469292,2.6957582,commercial,15,44.44,0.0,4.4,1.1,1944.0,18,0.222,1.9875,0.0,0.0,0.0
r0020_c0608,48.1469292,2.6978101,residential,53,177.78,0.0,4.6,1.4,1873.0,74,0.581,1.5169,0.0,0.0,0.0
r0020_c0609,48.1469292,2.6998621,residential,62,177.78,0.0,5.0,1.4,1868.0,86,0.651,1.2302,0.0,0.0,0.0
r0020_c0610,48.1469292,2.701914,residential,12,44.44,0.0,4.7,1.2,1853.0,16,0.5,1.5,0.0,0.0,0.0
r0020_c0611,48.1469292,2.703966,residential,7,88.89,0.0,3.3,1.0,,10,0.6,1.2955,0.0,0.0,0.0
r0020_c0612,48.1469292,2.7060179,residential,3,0.0,0.0,5.0,1.3,1960.0,5,0.4,1.5219,0.0,0.0,0.0
r0020_c0613,48.1469292,2.7080698,residential,8,88.89,0.0,4.1,1.2,1955.0,13,0.538,1.2957,0.0,0.0,0.0
r0020_c0614,48.1469292,2.7101218,residential,14,0.0,0.0,4.0,1.2,1862.0,20,0.65,1.1412,0.0,0.0,0.0
r0020_c0624,48.1469292,2.7306412,residential,7,44.44,0.0,3.6,1.1,1941.0,16,0.438,1.5462,0.0,0.0,0.0
r0020_c0625,48.1469292,2.7326931,residential,23,44.44,0.0,3.8,1.3,1879.0,45,0.489,1.5095,0.0,0.0,0.0
r0020_c0628,48.1469292,2.7388489,residential,3,0.0,0.0,3.8,1.1,1936.0,13,0.154,1.5466,0.0,0.0,0.0
r0020_c0634,48.1469292,2.7511606,residential,13,0.0,0.0,4.2,1.3,1896.0,23,0.522,1.2088,0.0,0.0,0.0
r0020_c0662,48.1469292,2.8086148,residential,22,0.0,0.0,4.0,1.2,1893.0,38,0.553,1.4295,0.0,0.0,0.0
r0020_c0663,48.1469292,2.8106668,residential,7,0.0,0.0,3.5,1.2,1976.0,19,0.368,1.5294,0.0,0.0,0.0
r0020_c0664,48.1469292,2.8127187,residential,3,0.0,0.0,3.9,1.1,1976.0,3,1.0,-0.0,0.0,0.0,0.0
r0020_c0675,48.1469292,2.83529,residential,3,44.44,0.0,3.1,1.4,1868.0,5,0.6,1.371,0.0,0.0,0.0
r0020_c0676,48.1469292,2.837342,residential,4,0.0,0.0,3.0,1.0,1870.0,9,0.444,1.5305,0.0,0.0,0.0
r0021_c0565,48.1482806,2.6095768,residential,5,0.0,0.0,3.1,1.1,1802.0,6,0.833,0.65,0.0,0.0,0.0
r0021_c0606,48.1482806,2.6937063,commercial,10,177.78,0.0,3.5,1.0,1973.0,11,0.091,1.2776,0.0,0.0,0.0
r0021_c0607,48.1482806,2.6957582,residential,10,400.0,0.0,6.5,1.7,1985.0,13,0.462,2.4697,0.0,0.0,0.0
r0021_c0608,48.1482806,2.6978101,residential,55,0.0,0.0,4.2,1.4,1880.0,81,0.506,1.6705,0.0,0.0,0.0
r0021_c0609,48.1482806,2.6998621,residential,126,266.67,0.1667,5.0,1.4,1818.0,186,0.462,1.5916,0.0,0.0,0.0
r0021_c0610,48.1482806,2.701914,residential,85,133.33,0.3333,5.7,1.6,1861.0,104,0.644,1.4646,0.0,44.44,0.0
r0021_c0611,48.1482806,2.703966,residential,8,0.0,0.0,4.4,1.2,1898.0,22,0.364,0.9457,0.0,0.0,0.0
r0021_c0613,48.1482806,2.7080698,industrial,3,266.67,0.0,2.8,1.0,1900.0,4,0.0,0.8113,0.0,0.0,0.0
r0021_c0615,48.1482806,2.7121737,residential,3,44.44,0.0,3.9,1.2,1966.0,10,0.3,1.2955,0.0,0.0,0.0
r0021_c0616,48.1482806,2.7142257,residential,3,0.0,0.0,3.7,1.2,1951.0,5,0.4,1.5219,0.0,0.0,0.0
r0021_c0617,48.1482806,2.7162776,residential,4,44.44,0.0,4.8,1.2,1962.0,6,0.667,0.9183,0.0,0.0,0.0
r0021_c0624,48.1482806,2.7306412,residential,4,0.0,0.0,4.0,1.3,2015.0,6,0.667,0.9183,0.0,0.0,0.0
r0021_c0626,48.1482806,2.734745,residential,4,0.0,0.0,3.3,1.2,1972.0,6,0.667,0.9183,0.0,0.0,0.0
r0021_c0627,48.1482806,2.736797,residential,16,44.44,0.0,4.2,1.2,1976.0,29,0.517,1.456,0.0,0.0,0.0
r0021_c0628,48.1482806,2.7388489,residential,18,44.44,0.0,3.4,1.2,1902.0,40,0.45,1.2345,0.0,0.0,0.0
r0021_c0629,48.1482806,2.7409009,residential,17,0.0,0.0,4.0,1.3,1856.0,31,0.548,1.1609,0.0,0.0,0.0
r0021_c0661,48.1482806,2.8065629,residential,4,0.0,0.0,3.2,1.1,1968.0,8,0.5,1.5,0.0,0.0,0.0
r0021_c0662,48.1482806,2.8086148,residential,8,0.0,0.0,3.9,1.3,1841.0,14,0.571,1.3788,0.0,0.0,0.0
r0021_c0674,48.1482806,2.8332381,residential,9,0.0,0.0,3.2,1.2,2011.0,13,0.615,1.2389,0.0,0.0,0.0
r0021_c0675,48.1482806,2.83529,residential,3,44.44,0.0,3.2,1.0,1995.0,4,0.5,1.5,0.0,0.0,0.0
r0021_c0676,48.1482806,2.837342,residential,3,0.0,0.0,3.4,1.1,2008.0,10,0.2,1.761,0.0,0.0,0.0
r0022_c0606,48.1496319,2.6937063,industrial,14,0.0,0.0,5.6,1.1,1974.0,15,0.133,1.2366,0.0,0.0,0.0
r0022_c0607,48.1496319,2.6957582,residential,27,88.89,0.0,4.7,1.3,1948.0,46,0.348,2.0832,0.0,0.0,0.0
r0022_c0608,48.1496319,2.6978101,residential,44,44.44,0.0,3.8,1.3,1897.0,67,0.343,1.9979,0.0,0.0,0.0
r0022_c0609,48.1496319,2.6998621,residential,53,44.44,0.0,4.9,1.4,1876.0,72,0.431,1.9187,0.0,0.0,0.0
r0022_c0610,48.1496319,2.701914,commercial,68,1155.56,0.1538,5.8,1.5,1852.0,80,0.412,1.9329,0.0,266.67,0.1667
r0022_c0611,48.1496319,2.703966,residential,69,1022.22,0.087,8.2,1.6,1842.0,83,0.542,1.8679,88.89,88.89,0.0
r0022_c0612,48.1496319,2.7060179,residential,37,177.78,0.0,6.3,1.6,1844.0,48,0.688,1.647,44.44,0.0,0.0
r0022_c0613,48.1496319,2.7080698,commercial,10,0.0,0.0,5.3,1.2,1775.0,12,0.333,1.7842,0.0,0.0,0.0
r0022_c0614,48.1496319,2.7101218,residential,7,44.44,0.0,4.4,1.1,1923.0,15,0.267,2.4159,0.0,0.0,0.0
