city,cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
NYC,r0022_c0025,40.7166567,-74.0011864,Institutional,5,5111.11,0.0087,9.4,1929,1128106.0,7.0,1.5097,88.89,44.44,9.81,0.0,44.44,0.0
NYC,r0022_c0026,40.7166567,-73.9994021,Mixed-Use,38,2711.11,0.3279,5.9,1919,1556889.0,36.0,1.2963,755.56,44.44,0.0,0.0,177.78,44.44
NYC,r0022_c0027,40.7166567,-73.9976177,Commercial,47,3911.11,0.2159,5.1,1918,633819.0,50.0,1.1789,1733.33,0.0,0.0,0.0,88.89,0.0
NYC,r0022_c0028,40.7166567,-73.9958333,Commercial,32,3644.44,0.1098,5.7,1920,653347.0,34.0,1.0352,800.0,177.78,0.0,133.33,222.22,88.89
NYC,r0022_c0029,40.7166567,-73.9940489,Open Space,16,3555.56,0.15,5.7,1936,556905.0,22.0,1.8081,444.44,88.89,0.0,0.0,88.89,44.44
NYC,r0022_c0030,40.7166567,-73.9922645,Mixed-Use,34,977.78,0.2727,5.3,1913,512916.0,42.0,1.9392,400.0,0.0,0.0,88.89,44.44,0.0
NYC,r0022_c0031,40.7166567,-73.9904801,Mixed-Use,57,800.0,0.2222,5.7,1923,580922.0,46.0,1.8868,311.11,0.0,0.0,88.89,44.44,44.44
NYC,r0022_c0032,40.7166567,-73.9886957,Residential,9,844.44,0.3158,5.9,1914,693317.0,25.0,1.7072,0.0,0.0,0.0,222.22,88.89,0.0
NYC,r0022_c0033,40.7166567,-73.9869113,Mixed-Use,6,1200.0,0.1481,17.8,1996,1121097.0,6.0,0.9672,266.67,0.0,0.0,177.78,266.67,0.0
NYC,r0022_c0034,40.7166567,-73.9851269,Residential,7,622.22,0.0714,16.8,1978,816425.0,8.0,1.5726,0.0,0.0,3.51,0.0,44.44,0.0
NYC,r0022_c0035,40.7166567,-73.9833425,Mixed-Use,6,266.67,0.0,7.6,1963,310934.0,7.0,1.9701,44.44,0.0,0.0,0.0,177.78,0.0
NYC,r0023_c0019,40.718008,-74.0118928,Residential,3,6355.56,0.0,,,,,0.0,0.0,0.0,13.0,133.33,0.0,0.0
NYC,r0023_c0020,40.718008,-74.0101084,Mixed-Use,38,2800.0,0.1429,5.2,1872,412512.0,33.0,1.6664,533.33,0.0,7.41,0.0,88.89,44.44
NYC,r0023_c0021,40.718008,-74.008324,Mixed-Use,16,311.11,0.1429,6.8,1899,1324869.0,24.0,1.98,44.44,0.0,1.46,0.0,133.33,44.44
NYC,r0023_c0022,40.718008,-74.0065396,Mixed-Use,25,1244.44,0.0714,8.5,1922,988863.0,25.0,2.4673,177.78,44.44,0.0,44.44,88.89,0.0
NYC,r0023_c0023,40.718008,-74.0047552,Mixed-Use,47,933.33,0.2381,5.8,1869,1014540.0,44.0,1.3156,88.89,0.0,0.0,0.0,177.78,88.89
NYC,r0023_c0024,40.718008,-74.0029708,Mixed-Use,32,1511.11,0.0294,7.5,1890,1007896.0,29.0,1.636,222.22,0.0,4.48,266.67,0.0,44.44
NYC,r0023_c0025,40.718008,-74.0011864,Commercial,29,2577.78,0.2241,6.2,1901,999676.0,36.0,1.7799,800.0,88.89,13.08,400.0,133.33,0.0
NYC,r0023_c0026,40.718008,-73.9994021,Commercial,31,2622.22,0.1356,4.9,1923,351222.0,22.0,1.2487,800.0,88.89,0.0,266.67,133.33,0.0
NYC,r0023_c0027,40.718008,-73.9976177,Mixed-Use,56,3333.33,0.36,5.3,1920,746123.0,67.0,1.2572,1866.67,133.33,0.0,0.0,88.89,0.0
NYC,r0023_c0028,40.718008,-73.9958333,Mixed-Use,40,2933.33,0.2273,5.3,1912,909485.0,57.0,0.9612,1733.33,0.0,0.0,88.89,0.0,0.0
NYC,r0023_c0029,40.718008,-73.9940489,Mixed-Use,35,2888.89,0.2923,4.7,1910,483861.0,41.0,1.3371,666.67,0.0,0.0,266.67,88.89,44.44
NYC,r0023_c0030,40.718008,-73.9922645,Mixed-Use,55,2577.78,0.4138,4.4,1914,408936.0,42.0,1.0568,977.78,0.0,0.0,0.0,177.78,0.0
NYC,r0023_c0031,40.718008,-73.9904801,Mixed-Use,44,2800.0,0.3333,5.0,1909,453616.0,46.0,0.8791,1155.56,177.78,0.0,44.44,88.89,311.11
NYC,r0023_c0032,40.718008,-73.9886957,Mixed-Use,12,2355.56,0.4906,5.6,1914,457755.0,29.0,0.9422,755.56,44.44,0.0,444.44,222.22,133.33
NYC,r0023_c0033,40.718008,-73.9869113,Mixed-Use,11,888.89,0.25,7.9,1951,673171.0,8.0,0.5377,355.56,44.44,0.0,222.22,177.78,0.0
NYC,r0023_c0034,40.718008,-73.9851269,Mixed-Use,31,1155.56,0.3462,5.0,1926,425189.0,36.0,2.0744,400.0,0.0,14.15,0.0,133.33,44.44
NYC,r0023_c0035,40.718008,-73.9833425,Institutional,16,800.0,0.1111,6.0,1936,575612.0,14.0,1.4677,222.22,0.0,0.0,0.0,44.44,0.0
NYC,r0023_c0039,40.718008,-73.9762049,Residential,3,711.11,0.0,5.5,1918,171480.0,2.0,0.9976,0.0,0.0,0.0,0.0,355.56,0.0
NYC,r0024_c0020,40.7193594,-74.0101084,Mixed-Use,29,3422.22,0.0779,7.1,1899,2303884.0,24.0,0.5559,177.78,0.0,0.0,0.0,44.44,0.0
NYC,r0024_c0021,40.7193594,-74.008324,Residential,31,711.11,0.25,6.6,1895,920767.0,36.0,2.005,311.11,44.44,7.49,44.44,44.44,0.0
NYC,r0024_c0022,40.7193594,-74.0065396,Mixed-Use,28,1911.11,0.3488,6.6,1905,733259.0,29.0,2.1042,133.33,44.44,0.0,355.56,222.22,88.89
NYC,r0024_c0023,40.7193594,-74.0047552,Commercial,32,1644.44,0.2162,5.5,1890,1586210.0,32.0,1.9455,88.89,0.0,3.68,44.44,88.89,133.33
NYC,r0024_c0024,40.7193594,-74.0029708,Mixed-Use,45,1288.89,0.2069,5.5,1877,965133.0,53.0,1.7384,311.11,0.0,24.51,222.22,44.44,44.44
NYC,r0024_c0025,40.7193594,-74.0011864,Commercial,32,2088.89,0.1277,5.0,1877,501465.0,28.0,1.1482,1022.22,44.44,0.0,311.11,133.33,0.0
NYC,r0024_c0026,40.7193594,-73.9994021,Commercial,28,2088.89,0.234,7.0,1901,988791.0,26.0,1.2321,622.22,44.44,0.0,44.44,44.44,88.89
NYC,r0024_c0027,40.7193594,-73.9976177,Mixed-Use,41,1555.56,0.5429,5.2,1913,548884.0,40.0,1.8636,488.89,0.0,0.0,44.44,44.44,44.44
NYC,r0024_c0028,40.7193594,-73.9958333,Mixed-Use,46,2977.78,0.2836,5.3,1911,567297.0,50.0,1.7324,1333.33,44.44,0.0,0.0,44.44,88.89
NYC,r0024_c0029,40.7193594,-73.9940489,Mixed-Use,39,1866.67,0.2381,5.1,1918,603300.0,41.0,1.7016,711.11,133.33,0.0,88.89,133.33,133.33
NYC,r0024_c0030,40.7193594,-73.9922645,Open Space,23,1022.22,0.1739,4.6,1924,203451.0,21.0,2.003,177.78,0.0,0.0,0.0,133.33,88.89
NYC,r0024_c0031,40.7193594,-73.9904801,Mixed-Use,35,2355.56,0.283,5.6,1909,441946.0,37.0,1.9937,755.56,133.33,0.0,266.67,355.56,133.33
NYC,r0024_c0032,40.7193594,-73.9886957,Mixed-Use,39,2444.44,0.4909,5.6,1925,740398.0,41.0,1.5769,755.56,44.44,0.0,266.67,177.78,355.56
