cell_id,amenity_density,amenity_ratio_food_drink
r0109_c0101,44.44,0.0
r0109_c0102,88.89,0.0
r0109_c0103,177.78,0.25
r0109_c0109,0.0,0.0
r0109_c0110,0.0,0.0
r0109_c0112,0.0,0.0
r0109_c0113,0.0,0.0
r0109_c0114,0.0,0.0
r0109_c0115,0.0,0.0
r0109_c0116,0.0,0.0
r0109_c0117,0.0,0.0
r0109_c0118,88.89,0.0
r0109_c0119,266.67,0.1667
r0109_c0120,0.0,0.0
r0109_c0121,0.0,0.0
r0109_c0122,0.0,0.0
r0109_c0123,0.0,0.0
r0109_c0124,0.0,0.0
r0109_c0125,222.22,0.0
r0109_c0126,88.89,0.0
r0109_c0127,0.0,0.0
r0109_c0128,0.0,0.0
r0109_c0129,0.0,0.0
r0109_c0130,88.89,0.0
r0109_c0131,0.0,0.0
r0109_c0132,0.0,0.0
r0109_c0133,0.0,0.0
r0109_c0134,0.0,0.0
r0109_c0135,0.0,0.0
r0109_c0136,0.0,0.0
r0109_c0137,0.0,0.0
r0109_c0138,0.0,0.0
r0109_c0139,0.0,0.0
r0109_c0140,88.89,0.0
r0110_c0076,0.0,0.0
r0110_c0077,0.0,0.0
r0110_c0078,0.0,0.0
r0110_c0079,0.0,0.0
