cell_id,road_density_primary
r0109_c0099,0.0
r0109_c0100,0.0
r0109_c0101,0.0
r0109_c0102,0.0
r0109_c0103,0.0
r0109_c0109,0.0
r0109_c0110,0.0
r0109_c0112,0.0
r0109_c0113,0.0
r0109_c0114,0.0
r0109_c0115,0.0
r0109_c0116,0.0
r0109_c0117,0.0
r0109_c0118,14.33
r0109_c0119,0.0
r0109_c0120,14.7
r0109_c0121,0.0
r0109_c0122,0.0
r0109_c0123,22.09
r0109_c0124,0.0
r0109_c0125,4.39
r0109_c0126,6.92
r0109_c0127,0.0
r0109_c0128,6.26
r0109_c0129,0.0
r0109_c0130,0.0
r0109_c0131,0.0
r0109_c0132,0.0
r0109_c0133,0.0
r0109_c0134,14.37
r0109_c0135,0.0
r0109_c0136,0.0
r0109_c0137,0.0
r0109_c0138,7.75
r0109_c0139,9.69
r0109_c0140,0.0
r0110_c0076,6.19
r0110_c0077,5.83
r0110_c0078,7.25
r0110_c0079,7.76
r0110_c0080,0.0
r0110_c0081,0.0
r0110_c0082,0.0
r0110_c0083,0.0
r0110_c0084,0.0
r0110_c0085,0.0
r0110_c0086,0.0
r0110_c0087,0.0
r0110_c0088,0.0
r0110_c0089,0.0
r0110_c0090,0.0
r0110_c0091,0.0
r0110_c0092,0.0
r0110_c0093,0.0
r0110_c0094,0.0
r0110_c0095,0.0
r0110_c0096,7.33
r0110_c0097,0.0
r0110_c0098,0.0
r0110_c0099,0.0
r0110_c0100,0.0
r0110_c0101,0.0
r0110_c0102,0.0
r0110_c0103,0.0
r0110_c0104,0.0
r0110_c0105,0.0
r0110_c0106,0.0
r0110_c0108,0.0
r0110_c0109,0.0
r0110_c0110,0.0
r0110_c0111,0.0
r0110_c0112,2.41
r0110_c0113,0.0
r0110_c0114,0.0
r0110_c0115,0.0
r0110_c0116,0.0
r0110_c0117,0.0
r0110_c0120,6.34
r0110_c0121,0.0
r0110_c0122,0.0
r0110_c0123,0.0
r0110_c0124,3.42
r0110_c0126,0.0
r0110_c0127,0.0
r0110_c0128,7.33
r0110_c0129,0.0
r0110_c0130,0.0
r0110_c0131,0.0
r0110_c0132,0.0
r0110_c0133,0.0
r0110_c0134,15.75
r0110_c0135,4.04
r0110_c0136,9.03
r0110_c0137,16.15
r0110_c0138,6.29
r0110_c0139,16.49
r0110_c0140,11.69
r0111_c0077,0.0
r0111_c0078,0.0
r0111_c0079,0.0
r0111_c0080,16.1
r0111_c0081,0.0
r0111_c0082,0.0
r0111_c0083,0.0
r0111_c0084,0.0
r0111_c0085,14.35
r0111_c0086,0.0
r0111_c0087,0.0
r0111_c0088,0.0
r0111_c0089,0.0
r0111_c0090,0.0
r0111_c0091,16.33
r0111_c0092,0.0
r0111_c0093,0.0
r0111_c0094,0.0
r0111_c0095,0.0
r0111_c0096,8.25
r0111_c0097,0.0
r0111_c0098,0.0
r0111_c0099,0.0
r0111_c0100,0.0
r0111_c0101,18.15
r0111_c0102,0.0
r0111_c0103,0.0
r0111_c0104,0.0
r0111_c0105,0.0
r0111_c0106,0.0
r0111_c0107,7.17
r0111_c0108,0.0
r0111_c0109,0.0
r0111_c0110,0.0
r0111_c0111,0.0
r0111_c0112,15.73
r0111_c0113,0.0
r0111_c0114,0.0
r0111_c0115,18.1
r0111_c0116,0.0
r0111_c0118,17.15
