cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
r0024_c0050,39.9068843,-75.186657,Residential,11,0.0,0.0,2.1,2004,19158.0,9.0,-0.0,0.0,0.0,0.0,0.0,88.89,0.0
r0024_c0051,39.9068843,-75.1848929,Residential,20,44.44,0.0,2.3,2004,45108.0,19.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0024_c0052,39.9068843,-75.1831288,Residential,11,400.0,0.0,2.0,2004,31794.0,14.0,-0.0,0.0,0.0,6.43,0.0,88.89,0.0
r0024_c0077,39.9068843,-75.1390274,Mixed-Use,3,0.0,0.0,,,0.0,2.0,0.2711,0.0,0.0,12.87,0.0,400.0,0.0
r0025_c0015,39.9082356,-75.248399,Residential,7,400.0,0.0,2.0,1925,5426.0,6.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0025_c0016,39.9082356,-75.2466349,Residential,12,44.44,0.0,1.0,1920,2803.0,10.0,0.8656,0.0,0.0,18.52,0.0,44.44,0.0
r0025_c0017,39.9082356,-75.2448708,Residential,26,44.44,0.0,1.6,1931,22950.0,19.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0025_c0018,39.9082356,-75.2431068,Residential,49,0.0,0.0,1.9,1946,82636.0,46.0,0.9997,0.0,0.0,0.0,0.0,44.44,0.0
r0025_c0019,39.9082356,-75.2413427,Residential,55,44.44,0.0,1.7,1953,69500.0,47.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0025_c0020,39.9082356,-75.2395787,Residential,13,0.0,0.0,1.3,1926,30140.0,31.0,-0.0,0.0,0.0,15.0,0.0,44.44,0.0
r0025_c0021,39.9082356,-75.2378146,Residential,44,0.0,0.0,1.9,1965,52720.0,36.0,0.981,0.0,0.0,0.0,0.0,222.22,0.0
r0025_c0022,39.9082356,-75.2360506,Residential,77,0.0,0.0,1.9,1965,109335.0,71.0,-0.0,0.0,0.0,41.44,0.0,88.89,0.0
r0025_c0023,39.9082356,-75.2342865,Residential,57,44.44,0.0,1.9,1950,116200.0,70.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0025_c0047,39.9082356,-75.1919491,Residential,15,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0025_c0048,39.9082356,-75.1901851,Residential,27,0.0,0.0,3.0,2023,125400.0,38.0,-0.0,0.0,0.0,0.0,0.0,177.78,0.0
r0025_c0049,39.9082356,-75.188421,Residential,20,44.44,0.0,2.3,2009,44664.0,17.0,1.2612,0.0,0.0,0.0,0.0,266.67,0.0
r0025_c0050,39.9082356,-75.186657,Residential,50,311.11,0.0,2.0,2004,108432.0,48.0,-0.0,0.0,0.0,0.0,0.0,88.89,0.0
