cell_id,road_density_primary
r0059_c0044,0.0
r0059_c0045,0.0
r0059_c0046,0.0
r0059_c0047,0.0
r0059_c0048,0.0
r0059_c0049,0.0
r0059_c0050,0.0
r0059_c0051,0.0
r0059_c0052,0.0
r0059_c0053,0.0
r0060_c0028,0.0
r0060_c0030,0.0
r0060_c0031,1.55
r0060_c0032,3.83
r0060_c0033,0.0
r0060_c0034,0.0
r0060_c0035,0.0
r0060_c0043,0.0
r0060_c0044,0.0
r0060_c0045,0.0
r0060_c0046,0.0
r0060_c0047,0.0
r0060_c0048,0.0
r0060_c0049,0.0
r0060_c0050,0.0
r0060_c0051,0.0
r0060_c0052,0.0
r0060_c0053,0.0
r0060_c0054,0.0
r0061_c0029,0.0
r0061_c0030,21.52
r0061_c0031,0.0
r0061_c0032,0.0
r0061_c0033,10.58
r0061_c0034,0.0
r0061_c0035,35.95
r0061_c0043,0.0
r0061_c0044,0.0
r0061_c0045,0.0
r0061_c0046,0.0
r0061_c0047,0.0
r0061_c0048,0.0
r0061_c0049,0.0
r0061_c0050,0.0
r0061_c0051,0.0
r0061_c0052,0.0
r0061_c0053,0.0
r0061_c0055,0.0
r0062_c0030,0.0
r0062_c0031,0.0
r0062_c0032,0.0
r0062_c0033,0.0
r0062_c0034,3.64
r0062_c0035,0.0
r0062_c0036,0.0
r0062_c0044,0.0
r0062_c0045,0.0
r0062_c0046,0.0
r0062_c0047,0.0
r0062_c0048,0.0
r0062_c0049,0.0
r0062_c0050,0.0
r0062_c0051,0.0
r0062_c0052,0.0
r0062_c0053,0.0
r0062_c0054,0.0
r0062_c0055,0.0
r0063_c0030,0.0
r0063_c0031,0.0
r0063_c0032,0.0
r0063_c0033,0.0
r0063_c0035,0.0
r0063_c0036,0.0
r0063_c0037,22.41
r0063_c0044,0.0
r0063_c0045,0.0
r0063_c0046,0.0
r0063_c0047,0.0
r0063_c0048,0.0
r0063_c0049,0.0
r0063_c0050,0.0
r0063_c0051,40.36
r0063_c0052,0.0
r0063_c0053,0.0
r0063_c0054,0.0
r0063_c0055,0.0
r0063_c0056,0.0
r0064_c0030,0.0
r0064_c0031,0.0
r0064_c0033,0.0
r0064_c0036,12.16
r0064_c0037,8.84
r0064_c0038,7.1
r0064_c0045,0.0
r0064_c0046,0.0
r0064_c0047,0.0
r0064_c0048,0.0
r0064_c0049,0.0
r0064_c0050,19.03
r0064_c0051,0.0
r0064_c0052,0.0
r0064_c0053,0.0
r0064_c0054,0.0
r0064_c0055,0.0
r0064_c0056,0.0
r0065_c0030,0.0
r0065_c0031,0.0
r0065_c0032,0.0
r0065_c0033,0.0
r0065_c0034,10.04
r0065_c0035,15.06
r0065_c0036,2.24
r0065_c0037,0.0
r0065_c0038,0.0
r0065_c0045,0.0
r0065_c0046,0.0
r0065_c0047,0.0
r0065_c0048,0.0
r0065_c0049,0.0
r0065_c0050,0.0
r0065_c0051,0.91
r0065_c0052,0.0
r0065_c0053,0.0
r0065_c0054,0.0
r0065_c0055,0.0
r0065_c0056,0.0
r0065_c0057,0.0
r0066_c0032,0.0
r0066_c0034,0.0
r0066_c0035,0.0
r0066_c0036,0.0
r0066_c0037,32.26
