cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,shop_type_entropy,brand_ratio
r0024_c0027,40.7193594,-73.9976177,Mixed-Use,41,1555.56,0.5429,5.2,1908.0,594023.0,41,2.0166,88.89,488.89,3.4594,0.0
r0024_c0028,40.7193594,-73.9958333,Mixed-Use,46,2977.78,0.2836,5.2,1915.0,578088.0,47,1.8533,44.44,1333.33,3.6729,0.0
r0024_c0029,40.7193594,-73.9940489,Mixed-Use,39,1866.67,0.2381,5.2,1918.0,502361.0,39,1.6846,133.33,711.11,2.4746,0.0
r0024_c0030,40.7193594,-73.9922645,Open Space,23,1022.22,0.1739,5.4,1924.0,292005.0,23,1.9196,133.33,177.78,2.0,0.0
r0024_c0031,40.7193594,-73.9904801,Mixed-Use,35,2355.56,0.283,5.3,1912.0,419353.0,37,1.8882,177.78,755.56,3.7345,0.0
r0024_c0032,40.7193594,-73.9886957,Mixed-Use,39,2400.0,0.4815,5.7,1926.0,713690.0,39,1.6436,133.33,755.56,2.9398,0.0588
r0024_c0033,40.7193594,-73.9869113,Commercial,30,1511.11,0.4118,5.0,1934.0,495275.0,31,1.5075,44.44,355.56,2.75,0.0
r0024_c0034,40.7193594,-73.9851269,Mixed-Use,52,2177.78,0.4082,5.0,1925.0,564863.0,65,1.3961,44.44,844.44,3.7474,0.0
r0024_c0035,40.7193594,-73.9833425,Institutional,26,1244.44,0.0357,5.3,1931.0,464563.0,25,1.7391,88.89,266.67,1.4591,0.0
r0025_c0020,40.7207107,-74.0101084,Mixed-Use,14,5022.22,0.0354,6.2,1920.0,341283.0,15,1.8224,0.0,0.0,0.0,0.0
r0025_c0021,40.7207107,-74.008324,Mixed-Use,13,577.78,0.2308,8.0,1918.0,781230.0,16,1.1996,0.0,0.0,0.0,0.0
r0025_c0022,40.7207107,-74.0065396,Mixed-Use,10,1911.11,0.0,7.8,1936.0,605899.0,9,1.9934,44.44,44.44,-0.0,1.0
r0025_c0023,40.7207107,-74.0047552,Mixed-Use,20,2577.78,0.1207,5.2,1918.0,507170.0,23,1.7083,88.89,177.78,1.5,0.0
r0025_c0024,40.7207107,-74.0029708,Mixed-Use,44,1555.56,0.0857,4.7,1879.0,704127.0,48,1.4457,133.33,622.22,2.6995,0.0714
r0025_c0025,40.7207107,-74.0011864,Commercial,30,1511.11,0.0882,5.3,1882.0,833002.0,31,1.518,0.0,755.56,3.1692,0.2353
r0025_c0026,40.7207107,-73.9994021,Mixed-Use,38,2666.67,0.0833,5.6,1878.0,790050.0,38,2.0022,0.0,1200.0,3.2879,0.0
